path,true,pred,prob,generator,correct,error_type
-WVXLhiSMg0_000027_000037,1,0,0.003396489850418,Kinetics-400,False,FN (real→fake)
-YnkBKzWZsA_000018_000028,1,0,0.0165414684799746,Kinetics-400,False,FN (real→fake)
-TFb1lrRzcg_000052_000062,1,0,0.0175288147209679,Kinetics-400,False,FN (real→fake)
-NRNRutEk40_000073_000083,1,0,0.0251583103235172,Kinetics-400,False,FN (real→fake)
real_93448,1,0,0.0300860508733396,GenVideo-Real,False,FN (real→fake)
-Uzha0Qegcg_000071_000081,1,0,0.0537902081393266,Kinetics-400,False,FN (real→fake)
-XfgcDQQ9AY_000158_000168,1,0,0.0620501978021428,Kinetics-400,False,FN (real→fake)
real_63697,1,0,0.0636928872131726,GenVideo-Real,False,FN (real→fake)
real_61917,1,0,0.0639700855828079,GenVideo-Real,False,FN (real→fake)
-WCJHul7yrw_000050_000060,1,0,0.0641937675374957,Kinetics-400,False,FN (real→fake)
-5ExwuF5IUI_000030_000040,1,0,0.0838133594418014,Kinetics-400,False,FN (real→fake)
-6zujL8vGGg_000000_000010,1,0,0.0890699740651932,Kinetics-400,False,FN (real→fake)
-9t1GeluG6w_000010_000020,1,0,0.0903720056350845,Kinetics-400,False,FN (real→fake)
real_65117,1,0,0.1003181892672774,GenVideo-Real,False,FN (real→fake)
-eFMN5GcpSc_000070_000080,1,0,0.1018678456075775,Kinetics-400,False,FN (real→fake)
real_91099,1,0,0.1126781359193301,GenVideo-Real,False,FN (real→fake)
real_65041,1,0,0.1305270089377165,GenVideo-Real,False,FN (real→fake)
real_37457,1,0,0.132190486478081,GenVideo-Real,False,FN (real→fake)
-He1Ivgwyxc_000215_000225,1,0,0.1340631249741402,Kinetics-400,False,FN (real→fake)
-cX8cM3GGb4_000007_000017,1,0,0.1369098140666643,Kinetics-400,False,FN (real→fake)
real_40724,1,0,0.1373832660288768,GenVideo-Real,False,FN (real→fake)
-LNfj92BQ9k_000022_000032,1,0,0.1493570451874002,Kinetics-400,False,FN (real→fake)
-1MXpPymXFU_000187_000197,1,0,0.1567295577094824,Kinetics-400,False,FN (real→fake)
