path,true,pred,prob,generator,correct,error_type
-P8Hq7Nc_lQ_000093_000103,1,0,0.0088547809790519,Kinetics-400,False,FN (real→fake)
-9QD3PDSgzk_000166_000176,1,0,0.0129004502698091,Kinetics-400,False,FN (real→fake)
-cGkTtq8_qA_000056_000066,1,0,0.0260063608786031,Kinetics-400,False,FN (real→fake)
-NMbe5RMZzU_000032_000042,1,0,0.0340542436434794,Kinetics-400,False,FN (real→fake)
-Y55hLkDGQA_000481_000491,1,0,0.037589784451677,Kinetics-400,False,FN (real→fake)
-KtT7Q730Yg_000008_000018,1,0,0.0413321323198494,Kinetics-400,False,FN (real→fake)
-c76cWETzm0_000099_000109,1,0,0.0415612902316895,Kinetics-400,False,FN (real→fake)
real_37864,1,0,0.0452972443974234,GenVideo-Real,False,FN (real→fake)
-Uk3rZ5VbBc_000151_000161,1,0,0.0522401151400166,Kinetics-400,False,FN (real→fake)
-hhNgEQI1EI_000022_000032,1,0,0.0588544150699153,Kinetics-400,False,FN (real→fake)
real_91573,1,0,0.0682865924106288,GenVideo-Real,False,FN (real→fake)
-2UnEKzUgSU_000005_000015,1,0,0.0747719527360276,Kinetics-400,False,FN (real→fake)
-O-24LLX2Dk_000003_000013,1,0,0.0838935944248922,Kinetics-400,False,FN (real→fake)
-g4pOHKm1B0_000016_000026,1,0,0.0900219601344725,Kinetics-400,False,FN (real→fake)
-P_CNMYOSFU_000002_000012,1,0,0.0964076060705731,Kinetics-400,False,FN (real→fake)
-R26V4bMU8A_000027_000037,1,0,0.1043813535256779,Kinetics-400,False,FN (real→fake)
-WavzVrd3MA_000747_000757,1,0,0.1059643227456434,Kinetics-400,False,FN (real→fake)
-gswhyjdG-A_000000_000010,1,0,0.1125192551769663,Kinetics-400,False,FN (real→fake)
-OXoaXHN_7I_000019_000029,1,0,0.1141169342379047,Kinetics-400,False,FN (real→fake)
-JfMuIHK7Yg_000205_000215,1,0,0.11911494919123,Kinetics-400,False,FN (real→fake)
-VtLx-mcPds_000012_000022,1,0,0.1225673026460758,Kinetics-400,False,FN (real→fake)
-gM-cqwvFJ4_000485_000495,1,0,0.1249581930790948,Kinetics-400,False,FN (real→fake)
real_78086,1,0,0.1252423581144775,GenVideo-Real,False,FN (real→fake)
-CT7VD7r3gQ_000004_000014,1,0,0.1276228191014783,Kinetics-400,False,FN (real→fake)
